year,MSA,ED_region,county,itp_avg_price,underSA_cap,pCCC,FCC,public,HR,pq12
2015,0,Southern,Winona County,109.48289,12.734782,.055172414,.90344828,.04137931,.068965517,.93103451
2015,1,Metro,Ramsey County,172.97533,22.311905,.22381635,.72596842,.050215207,.17503586,.82496411
2015,0,NorthCentral,Wadena County,91.278252,11.393414,.046511628,.81395346,.13953489,.18604651,.81395346
2015,1,Metro,Dakota County,169.73863,18.177546,.12392638,.84662575,.029447854,.092024542,.90797544
2015,1,Metro,Anoka County,153.39581,16.355627,.11271676,.84393066,.0433526,.12138728,.8786127
2015,0,Northwest,Polk County,101.74535,13.302219,.050420169,.86554623,.084033616,.12605043,.87394959
2015,0,Southern,Wabasha County,115.81636,10.993257,.028169014,.91549295,.056338027,.11267605,.88732392
2015,0,NorthCentral,Todd County,80.295853,12.603174,.018518519,.81481481,.16666667,.2037037,.7962963
2015,0,Southwest,Nobles County,85.774506,12.75731,.039999999,.83999997,.12,.14,.86000001
2015,1,Metro,Hennepin County,185.64023,26.251724,.27223355,.66870332,.059063137,.16904277,.83095723
2015,0,Northwest,Pennington County,105.14874,11.191329,.029850746,.9402985,.029850746,.029850746,.97014928
2015,0,Southwest,Lyon County,98.367691,12.812007,.046153847,.88461536,.069230773,.07692308,.92307693
2015,0,Southern,Mower County,102.83638,11.965128,.02020202,.90909094,.070707068,.070707068,.92929292
