cty_gisjoin,county,co_adj_supply_any,co_adj_supply_ccc,co_adj_supply_fcc,co_adj_supply_public,co_adj_supply_lr,co_adj_supply_hr,co_drive_time_any,co_drive_time_ccc,co_drive_time_fcc,co_drive_time_public,co_drive_time_lr,co_drive_time_hr,co_price_any,co_price_ccc,co_price_fcc,co_price_public,co_price_lr,co_price_hr,co_totcost_any,co_totcost_ccc,co_totcost_fcc,co_totcost_public,co_totcost_lr,co_quality_premium
G2700490,Dakota County,.55622625,.28909084,.24775954,.019375905,.39989638,.13695398,4.1203294,4.3718758,4.1109843,4.9021564,4.1303725,5.225862,207.18616,260.60828,164.55324,0,193.68904,273.04556,214.05338,267.89474,171.40489,8.1702604,200.573,1.4119818
G2701630,Washington County,.49603677,.24467321,.22212906,.029234508,.35591906,.11088319,4.2586803,4.886065,4.2170815,6.538609,4.2575402,5.9324999,197.35696,261.38867,160.62111,0,192.52126,264.48889,204.45477,269.53214,167.64958,10.897682,199.61716,1.4051045
G2700170,Carlton County,.62491339,.18027472,.25569201,.18894665,.30279493,.1331718,5.4679523,9.4519758,5.669651,7.6591182,5.6433034,8.5563993,91.344536,123.84535,117.86693,0,120.21517,111.57583,100.45779,139.59865,127.31635,12.765197,129.62067,.97300249
G2701090,Olmsted County,.78376806,.29952398,.38795382,.096290275,.47731721,.21016058,4.1425781,4.6797366,4.0084691,4.7818537,4.0481119,5.0135961,163.91438,231.45706,141.58804,0,154.67004,234.36633,170.81868,239.25662,148.26883,7.9697561,161.41689,1.5058805
G2701570,Wabasha County,.71226209,.066968851,.57200098,.073292233,.60009336,.038876478,4.7876444,11.853699,4.8568945,8.5007429,4.7910175,15.789705,110.34303,167.55966,121.17796,0,124.07508,187.93207,118.32243,187.31583,129.27278,14.167905,132.0601,1.6288073
G2700450,Fillmore County,.66205329,.17066571,.39000744,.10138016,.56067318,8.7746054e-16,6.4514194,14.692138,7.1932411,12.385902,6.3329401,37.055958,93.128609,138.86444,103.28458,0,110.2509,138.72398,103.88097,163.35133,115.27332,20.643169,120.8058,1.7186167
G2701690,Winona County,.78960478,.20456082,.52647817,.058565818,.64705527,.08398369,4.3933034,8.71912,4.4109879,7.3195171,4.4133444,13.572155,112.038,166.6801,111.84995,0,119.84109,148.34383,119.36018,181.21196,119.20159,12.199195,127.19667,1.3634384
G2700750,Lake County,.28338614,0,.23221874,.051167395,.23221874,0,5.3261704,44.615284,5.309629,5.5935159,5.3084249,43.628716,92.238136,186.07353,117.29438,0,117.34562,105.20634,101.11508,260.43234,126.14376,9.3225269,126.19299,1.399586
G2700550,Houston County,.7427575,.070462488,.56430602,.107989,.63476849,0,4.908833,23.828365,4.8706617,7.8630509,4.8806434,45.333099,97.549072,138.1165,111.50924,0,112.06396,106,105.73045,177.83044,119.62701,13.105084,120.19836,1.5234749
G2700310,Cook County,1.0479441,.11663926,.78815645,.14314832,.90479571,0,12.088447,53.894901,21.686932,19.522955,11.940376,163.44876,93.566986,63,117.65733,0,111.85661,105,113.71439,152.82483,153.80222,32.538261,131.75723,3.0140698
